Zipcode,Year_Coll,num_samples,Borough_broad,neighb_code,Neighb_Name,epa_pb_lim,pct_1d_pb_over_epa,max_1d_pb,min_1d_pb,avg_1d_pb,med_1d_pb,range_1d_pb,med_1d_pb_diff_epa,avg_1d_pb_diff_epa,pct_2d_pb_over_epa,max_2d_pb,min_2d_pb,avg_2d_pb,med_2d_pb,range_2d_pb,med_2d_pb_diff_epa,avg_2d_pb_diff_epa
10475,2016,38,Bronx,102,Northeast Bronx,0.015,100,0.140,0.019,0.030421052631578956,0.0245,0.12100000000000001,0.009500000000000001,0.015421052631578957,0,0.004,0.000,0.00018421052631578948,0.0,0.004,-0.015,-0.01481578947368421
10475,2017,8,Bronx,102,Northeast Bronx,0.015,37,0.017,0.013,0.01525,0.015,0.004000000000000002,0.0,0.0002500000000000002,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10475,2018,25,Bronx,102,Northeast Bronx,0.015,0,0.013,0.010,0.011000000000000003,0.011,0.002999999999999999,-0.004,-0.003999999999999997,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10475,2019,5,Bronx,102,Northeast Bronx,0.015,0,0.010,0.008,0.008799999999999999,0.009,0.002,-0.006,-0.006200000000000001,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10475,2020,5,Bronx,102,Northeast Bronx,0.015,0,0.008,0.007,0.0072,0.007,0.001,-0.008,-0.0078,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10458,2014,1,Bronx,103,Fordham - Bronx Park,0.015,100,0.073,0.073,0.073,0.073,0.0,0.057999999999999996,0.057999999999999996,0,0.001,0.001,0.001,0.001,0.0,-0.013999999999999999,-0.013999999999999999
10458,2015,2,Bronx,103,Fordham - Bronx Park,0.015,100,0.045,0.044,0.0445,0.0445,0.0010000000000000009,0.0295,0.0295,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10458,2016,16,Bronx,103,Fordham - Bronx Park,0.015,100,0.069,0.019,0.02881250000000001,0.025,0.05,0.010000000000000002,0.013812500000000012,0,0.001,0.000,6.25e-05,0.0,0.001,-0.015,-0.0149375
10458,2017,14,Bronx,103,Fordham - Bronx Park,0.015,28,0.018,0.013,0.014500000000000004,0.014,0.004999999999999999,-0.0009999999999999992,-0.0004999999999999952,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10458,2018,8,Bronx,103,Fordham - Bronx Park,0.015,0,0.013,0.010,0.011249999999999998,0.011,0.002999999999999999,-0.004,-0.0037500000000000016,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10458,2019,12,Bronx,103,Fordham - Bronx Park,0.015,16,15.483,0.008,1.3078333333333332,0.009,15.475000000000001,-0.006,1.2928333333333333,8,0.463,0.000,0.03891666666666667,0.0,0.463,-0.015,0.02391666666666667
10458,2020,8,Bronx,103,Fordham - Bronx Park,0.015,0,0.007,0.007,0.007,0.007,0.0,-0.008,-0.008,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10467,2014,7,Bronx,103,Fordham - Bronx Park,0.015,100,0.100,0.049,0.05871428571428571,0.053,0.051000000000000004,0.038,0.04371428571428571,0,0.002,0.000,0.00028571428571428574,0.0,0.002,-0.015,-0.014714285714285714
10467,2015,8,Bronx,103,Fordham - Bronx Park,0.015,100,0.121,0.040,0.052999999999999985,0.0435,0.08099999999999999,0.028499999999999998,0.037999999999999985,0,0.003,0.000,0.000375,0.0,0.003,-0.015,-0.014624999999999999
10467,2016,22,Bronx,103,Fordham - Bronx Park,0.015,100,2.237,0.019,0.13290909090909087,0.025,2.218,0.010000000000000002,0.11790909090909087,4,0.026,0.000,0.0014545454545454547,0.0,0.026,-0.015,-0.013545454545454545
10467,2017,13,Bronx,103,Fordham - Bronx Park,0.015,61,15.082,0.014,1.181230769230769,0.016,15.068000000000001,0.0010000000000000009,1.1662307692307692,7,0.086,0.000,0.0068461538461538456,0.0,0.086,-0.015,-0.008153846153846154
10467,2018,11,Bronx,103,Fordham - Bronx Park,0.015,0,0.013,0.010,0.011090909090909089,0.011,0.002999999999999999,-0.004,-0.003909090909090911,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10467,2019,32,Bronx,103,Fordham - Bronx Park,0.015,9,0.205,0.008,0.019593750000000007,0.008,0.19699999999999998,-0.006999999999999999,0.0045937500000000075,0,0.008,0.000,0.00040625,0.0,0.008,-0.015,-0.014593749999999999
10467,2020,14,Bronx,103,Fordham - Bronx Park,0.015,7,0.056,0.007,0.010571428571428577,0.007,0.049,-0.008,-0.004428571428571422,0,0.001,0.000,7.142857142857143e-05,0.0,0.001,-0.015,-0.014928571428571428
10468,2015,1,Bronx,103,Fordham - Bronx Park,0.015,100,0.041,0.041,0.041,0.041,0.0,0.026000000000000002,0.026000000000000002,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10468,2016,8,Bronx,103,Fordham - Bronx Park,0.015,100,2.766,0.019,0.37037499999999995,0.022,2.747,0.006999999999999999,0.35537499999999994,12,0.026,0.000,0.003375,0.0,0.026,-0.015,-0.011625
10468,2017,11,Bronx,103,Fordham - Bronx Park,0.015,45,0.018,0.013,0.015090909090909094,0.014,0.004999999999999999,-0.0009999999999999992,9.090909090909462e-05,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10468,2018,15,Bronx,103,Fordham - Bronx Park,0.015,6,0.062,0.010,0.015066666666666673,0.012,0.052,-0.002999999999999999,6.66666666666732e-05,0,0.001,0.000,6.666666666666667e-05,0.0,0.001,-0.015,-0.014933333333333333
10468,2019,13,Bronx,103,Fordham - Bronx Park,0.015,0,0.009,0.008,0.008461538461538465,0.008,0.0009999999999999992,-0.006999999999999999,-0.006538461538461535,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10468,2020,7,Bronx,103,Fordham - Bronx Park,0.015,0,0.008,0.007,0.007142857142857143,0.007,0.001,-0.008,-0.007857142857142858,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10461,2014,1,Bronx,104,Pelham - Throgs Neck,0.015,100,5.508,5.508,5.508,5.508,0.0,5.493,5.493,100,0.039,0.039,0.039,0.039,0.0,0.024,0.024
10461,2015,7,Bronx,104,Pelham - Throgs Neck,0.015,100,0.191,0.039,0.098,0.07,0.152,0.05500000000000001,0.083,0,0.007,0.000,0.002428571428571429,0.001,0.007,-0.013999999999999999,-0.01257142857142857
10461,2016,19,Bronx,104,Pelham - Throgs Neck,0.015,100,0.233,0.019,0.06473684210526313,0.031,0.21400000000000002,0.016,0.049736842105263135,0,0.008,0.000,0.001368421052631579,0.0,0.008,-0.015,-0.01363157894736842
10461,2017,18,Bronx,104,Pelham - Throgs Neck,0.015,77,0.218,0.013,0.05061111111111112,0.0165,0.205,0.0015000000000000013,0.03561111111111112,0,0.008,0.000,0.001166666666666667,0.0,0.008,-0.015,-0.013833333333333333
10461,2018,17,Bronx,104,Pelham - Throgs Neck,0.015,29,1.249,0.010,0.1694705882352941,0.012,1.239,-0.002999999999999999,0.15447058823529408,11,0.021,0.000,0.0032941176470588237,0.0,0.021,-0.015,-0.011705882352941175
10461,2019,20,Bronx,104,Pelham - Throgs Neck,0.015,40,5.924,0.008,0.34315000000000007,0.009,5.916,-0.006,0.32815000000000005,5,0.041,0.000,0.00335,0.0,0.041,-0.015,-0.011649999999999999
10461,2020,13,Bronx,104,Pelham - Throgs Neck,0.015,23,0.541,0.007,0.06576923076923077,0.007,0.534,-0.008,0.050769230769230775,7,0.016,0.000,0.0018461538461538461,0.0,0.016,-0.015,-0.013153846153846153
10462,2014,5,Bronx,104,Pelham - Throgs Neck,0.015,100,0.122,0.048,0.06439999999999999,0.049,0.074,0.034,0.049399999999999986,0,0.003,0.000,0.0006000000000000001,0.0,0.003,-0.015,-0.0144
10462,2015,1,Bronx,104,Pelham - Throgs Neck,0.015,100,0.043,0.043,0.043,0.043,0.0,0.027999999999999997,0.027999999999999997,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015
10462,2016,24,Bronx,104,Pelham - Throgs Neck,0.015,100,0.259,0.019,0.045375000000000006,0.0285,0.24000000000000002,0.013500000000000002,0.030375000000000006,0,0.009,0.000,0.0007083333333333334,0.0,0.009,-0.015,-0.014291666666666666
10462,2017,11,Bronx,104,Pelham - Throgs Neck,0.015,54,0.088,0.013,0.022090909090909102,0.016,0.075,0.0010000000000000009,0.007090909090909103,0,0.002,0.000,0.00018181818181818183,0.0,0.002,-0.015,-0.014818181818181817
10462,2018,11,Bronx,104,Pelham - Throgs Neck,0.015,27,0.132,0.010,0.03300000000000001,0.012,0.12200000000000001,-0.002999999999999999,0.01800000000000001,0,0.004,0.000,0.0006363636363636364,0.0,0.004,-0.015,-0.014363636363636363
10462,2019,15,Bronx,104,Pelham - Throgs Neck,0.015,6,0.077,0.008,0.013333333333333336,0.009,0.069,-0.006,-0.0016666666666666635,0,0.002,0.000,0.00013333333333333334,0.0,0.002,-0.015,-0.014866666666666667
